,,Site Statistics 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"File generated on Monday, July 26, 2021 at 12:51:31 PM Coordinated Universal Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan,,,,,,Feb,,,,,,Mar,,,,,,Apr,,,,,,May,,,,,,Jun,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Id,Name,Country,Control Link API enabled,Internal,Commissioned Luminaires CTC,Commissioned Vodafone contract1 CTC Luminaires,Commissioned Vodafone contract2 CTC Luminaires,Commissioned Aspyder Luminaires CTC,Commissioned Luminaires RF,Total no. of Commissioned Luminaires,Commissioned Luminaires CTC,Commissioned Vodafone contract1 CTC Luminaires,Commissioned Vodafone contract2 CTC Luminaires,Commissioned Aspyder Luminaires CTC,Commissioned Luminaires RF,Total no. of Commissioned Luminaires,Commissioned Luminaires CTC,Commissioned Vodafone contract1 CTC Luminaires,Commissioned Vodafone contract2 CTC Luminaires,Commissioned Aspyder Luminaires CTC,Commissioned Luminaires RF,Total no. of Commissioned Luminaires,Commissioned Luminaires CTC,Commissioned Vodafone contract1 CTC Luminaires,Commissioned Vodafone contract2 CTC Luminaires,Commissioned Aspyder Luminaires CTC,Commissioned Luminaires RF,Total no. of Commissioned Luminaires,Commissioned Luminaires CTC,Commissioned Vodafone contract1 CTC Luminaires,Commissioned Vodafone contract2 CTC Luminaires,Commissioned Aspyder Luminaires CTC,Commissioned Luminaires RF,Total no. of Commissioned Luminaires,Commissioned Luminaires CTC,Commissioned Vodafone contract1 CTC Luminaires,Commissioned Vodafone contract2 CTC Luminaires,Commissioned Aspyder Luminaires CTC,Commissioned Luminaires RF,Total no. of Commissioned Luminaires,Commissioned Luminaires CTC,Commissioned Vodafone contract1 CTC Luminaires,Commissioned Vodafone contract2 CTC Luminaires,Commissioned Aspyder Luminaires CTC,Commissioned Luminaires RF,Total no. of Commissioned Luminaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAC-IN-1001,Test-BLR-Liquibase,India,NO,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAC-AU-1011,AUS,Project1,Australia,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAC-AL-1015,CTCSolar,Albania,NO,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAC-IN-1005,Test-BLR-North,India,YES,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAC-BR-1014,Brazil,RF,Brazil,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
